year [yyyy],month [mm],day [dd],hour [HH],minute [MM],second [SS.fff],Wind Speed at 10m (WS10) [m/s],Wind Direction at 10m (WD10) [Deg. N. (coming-from)],Air Pressure at Mean Sea Level (Pair) [hPa],Wind Speed at 100m (WS100) [m/s],Wind Direction at 100m (WD100) [Deg. N. (coming-from)],Wind Speed at 10m - Corrected for wave model forcing (WS10C) [m/s]
1979,1,1,7,0,0,6.29,137.65,1011.5,6.98,137.54,4.78
1979,1,1,8,0,0,6.15,137.72,1010.91,6.8,137.59,4.9
1979,1,1,9,0,0,5.92,137.46,1010.81,6.52,137.33,5.39
1979,1,1,10,0,0,5.47,134.22,1010.71,6.01,134.07,5.87
1979,1,1,11,0,0,5.34,131.84,1011.16,5.85,131.64,6.22
1979,1,1,12,0,0,5.36,131,1011.15,5.87,130.83,6.35
1979,1,1,13,0,0,5.45,129.18,1011.27,5.97,129,6.42
1979,1,1,14,0,0,5.65,128.7,1011.26,6.22,128.51,6.29
1979,1,1,15,0,0,5.77,127.67,1011.36,6.36,127.51,6.15
1979,1,1,16,0,0,5.85,128.99,1011.81,6.47,128.73,5.92
1979,1,1,17,0,0,5.66,131.36,1011.76,6.24,131.1,5.47
1979,1,1,18,0,0,5.34,132.19,1011.63,5.88,131.91,5.34
1979,1,1,19,0,0,5.19,132.85,1010.88,5.68,132.59,5.36
1979,1,1,20,0,0,5.3,133.46,1010.02,5.79,133.18,5.45
1979,1,1,21,0,0,5.46,134.23,1009.08,5.97,133.99,5.66
1979,1,1,22,0,0,5.82,132.66,1008.34,6.42,132.4,5.77
1979,1,1,23,0,0,6.01,130.61,1007.87,6.65,130.39,5.85
1979,1,2,0,0,0,6.26,127.09,1008.45,6.94,126.94,5.66
1979,1,2,1,0,0,6.34,125.07,1008.67,7.05,124.9,5.34
1979,1,2,2,0,0,6.49,123.01,1009.29,7.22,122.83,5.19
1979,1,2,3,0,0,6.49,122.88,1010,7.22,122.7,5.3
1979,1,2,4,0,0,6.25,122.81,1010.53,6.93,122.55,5.46
1979,1,2,5,0,0,5.92,123.21,1010.96,6.55,122.93,5.82
1979,1,2,6,0,0,5.7,124.59,1011.27,6.28,124.25,6.01
1979,1,2,7,0,0,5.61,126.42,1010.54,6.16,126.06,6.26
1979,1,2,8,0,0,5.7,127.34,1010.29,6.25,127.04,6.34
1979,1,2,9,0,0,5.85,128.65,1010.05,6.43,128.33,6.49
1979,1,2,10,0,0,5.2,132.87,1010.71,5.67,132.53,6.49
1979,1,2,11,0,0,5.2,136.63,1010.86,5.64,136.3,6.25
1979,1,2,12,0,0,5.24,136.96,1011.1,5.69,136.6,5.92
1979,1,2,13,0,0,5.29,134.02,1011.32,5.73,133.69,5.7
1979,1,2,14,0,0,5.25,131.89,1011.71,5.7,131.52,5.61
1979,1,2,15,0,0,5.27,132.75,1011.89,5.73,132.35,5.7
1979,1,2,16,0,0,5.4,135.77,1012.27,5.88,135.37,5.85
1979,1,2,17,0,0,5.57,138.93,1011.9,6.08,138.59,5.2
1979,1,2,18,0,0,5.62,139.53,1012.02,6.16,139.17,5.2
1979,1,2,19,0,0,5.65,139.67,1011.4,6.2,139.35,5.24
1979,1,2,20,0,0,5.67,139.59,1010.49,6.24,139.3,5.29
1979,1,2,21,0,0,5.82,139.58,1009.65,6.42,139.31,5.25
1979,1,2,22,0,0,6.08,140.69,1009.24,6.74,140.42,5.27
1979,1,2,23,0,0,6.25,137.89,1009.05,6.96,137.72,5.4
