Date Created [UTC]	: 2026-05-08 11:43:06
Author				: DHI
Source				: https://www.metocean-on-demand.com/
Point Name			: P1
Longitude [deg.E]	: 43.345936
Latitude [deg.N]	: 12.591365
Projection			: EPSG:4326
Dataset ID			: Global-AT-ERA5
Water Depth [mMSL]	: 3000.0
Cell Size [m]		: 27780.0
Start Date [UTC]	: 1996-01-01 00:00:00
End Date [UTC]		: 2025-12-31 23:00:00
Time Step [s]		: 3600.0
Fill Value			: -9999

datetime (ISO 8601) [UTC],Wind Speed at 10m (WS_10) [m/s],Wind Direction at 10m (WD_10) [\Deg.N-from],Air Pressure at Mean Sea Level (P_Air) [hPa],Wind Speed at 100m (WS_100) [m/s],Wind Direction at 100m (WD_100) [\Deg.N-from],Wind Speed at 10m - Adjusted for wave model forcing (WS_10) [m/s]
1996-01-01 00:00:00,9.87,125.83,1013.93,12.03,125.9,9.87
1996-01-01 01:00:00,10.07,125.14,1013.98,12.36,125.19,10.07
1996-01-01 02:00:00,10.11,124.38,1014.04,12.44,124.42,10.11
1996-01-01 03:00:00,10.31,124.06,1014.31,12.72,123.96,10.31
1996-01-01 04:00:00,10.58,123.97,1014.92,12.99,123.89,10.58
1996-01-01 05:00:00,11.08,123.04,1015.89,13.31,123.05,11.08
1996-01-01 06:00:00,11.48,122.47,1016.87,13.65,122.47,11.48
1996-01-01 07:00:00,11.37,122.19,1016.97,13.44,122.2,11.37
1996-01-01 08:00:00,11.12,122.87,1016.75,13.11,122.82,11.12
1996-01-01 09:00:00,10.78,124.75,1015.86,12.68,124.65,10.78
1996-01-01 10:00:00,10.45,127.15,1014.88,12.2,127.12,10.45
1996-01-01 11:00:00,10.17,130.41,1014.16,11.84,130.42,10.17
1996-01-01 12:00:00,9.87,132.14,1013.23,11.49,132.16,9.87
1996-01-01 13:00:00,9.68,131.75,1013.13,11.27,131.72,9.68
1996-01-01 14:00:00,9.53,130.06,1013.22,11.19,129.92,9.53
1996-01-01 15:00:00,9.24,130.92,1013.73,11.01,130.69,9.24
1996-01-01 16:00:00,9.11,129.12,1014.51,10.95,128.86,9.11
1996-01-01 17:00:00,9.02,129.38,1015.24,10.89,128.94,9.02
1996-01-01 18:00:00,9.02,130.77,1015.72,11.01,130.5,9.02
1996-01-01 19:00:00,9.37,128.76,1015.72,11.37,128.87,9.37
1996-01-01 20:00:00,9.51,126,1015.8,11.55,126.18,9.51
1996-01-01 21:00:00,9.19,124.01,1015.44,11.25,124.18,9.19
1996-01-01 22:00:00,9.31,123.89,1015.6,11.34,123.93,9.31
1996-01-01 23:00:00,9.57,123.64,1015.08,11.62,123.67,9.57
1996-01-02 00:00:00,9.82,123.01,1014.75,11.93,122.96,9.82
1996-01-02 01:00:00,9.93,122.95,1014.39,12.05,122.92,9.93
1996-01-02 02:00:00,9.99,122.8,1014.55,12.2,122.75,9.99
1996-01-02 03:00:00,10.25,122.8,1014.99,12.49,122.77,10.25
1996-01-02 04:00:00,10.54,122.81,1015.83,12.86,122.83,10.54
1996-01-02 05:00:00,11.08,121.89,1016.27,13.32,121.92,11.08
1996-01-02 06:00:00,11.39,121.5,1017.33,13.57,121.57,11.39
