datetime,WS10,WD10,WS100,WD100,WS10C,Pair,direction_sector
1979-01-01 07:00:00,6.29,137.65,6.98,137.54,4.78,1011.5,SE
1979-01-01 08:00:00,6.15,137.72,6.8,137.59,4.9,1010.91,SE
1979-01-01 09:00:00,5.92,137.46,6.52,137.33,5.39,1010.81,SE
1979-01-01 10:00:00,5.47,134.22,6.01,134.07,5.87,1010.71,E
1979-01-01 11:00:00,5.34,131.84,5.85,131.64,6.22,1011.16,E
1979-01-01 12:00:00,5.36,131.0,5.87,130.83,6.35,1011.15,E
1979-01-01 13:00:00,5.45,129.18,5.97,129.0,6.42,1011.27,E
1979-01-01 14:00:00,5.65,128.7,6.22,128.51,6.29,1011.26,E
1979-01-01 15:00:00,5.77,127.67,6.36,127.51,6.15,1011.36,E
1979-01-01 16:00:00,5.85,128.99,6.47,128.73,5.92,1011.81,E
1979-01-01 17:00:00,5.66,131.36,6.24,131.1,5.47,1011.76,E
1979-01-01 18:00:00,5.34,132.19,5.88,131.91,5.34,1011.63,E
1979-01-01 19:00:00,5.19,132.85,5.68,132.59,5.36,1010.88,E
1979-01-01 20:00:00,5.3,133.46,5.79,133.18,5.45,1010.02,E
1979-01-01 21:00:00,5.46,134.23,5.97,133.99,5.66,1009.08,E
1979-01-01 22:00:00,5.82,132.66,6.42,132.4,5.77,1008.34,E
1979-01-01 23:00:00,6.01,130.61,6.65,130.39,5.85,1007.87,E
1979-01-02 00:00:00,6.26,127.09,6.94,126.94,5.66,1008.45,E
1979-01-02 01:00:00,6.34,125.07,7.05,124.9,5.34,1008.67,E
1979-01-02 02:00:00,6.49,123.01,7.22,122.83,5.19,1009.29,E
1979-01-02 03:00:00,6.49,122.88,7.22,122.7,5.3,1010.0,E
1979-01-02 04:00:00,6.25,122.81,6.93,122.55,5.46,1010.53,E
1979-01-02 05:00:00,5.92,123.21,6.55,122.93,5.82,1010.96,E
1979-01-02 06:00:00,5.7,124.59,6.28,124.25,6.01,1011.27,E
1979-01-02 07:00:00,5.61,126.42,6.16,126.06,6.26,1010.54,E
1979-01-02 08:00:00,5.7,127.34,6.25,127.04,6.34,1010.29,E
1979-01-02 09:00:00,5.85,128.65,6.43,128.33,6.49,1010.05,E
1979-01-02 10:00:00,5.2,132.87,5.67,132.53,6.49,1010.71,E
1979-01-02 11:00:00,5.2,136.63,5.64,136.3,6.25,1010.86,SE
1979-01-02 12:00:00,5.24,136.96,5.69,136.6,5.92,1011.1,SE
1979-01-02 13:00:00,5.29,134.02,5.73,133.69,5.7,1011.32,E
1979-01-02 14:00:00,5.25,131.89,5.7,131.52,5.61,1011.71,E
1979-01-02 15:00:00,5.27,132.75,5.73,132.35,5.7,1011.89,E
1979-01-02 16:00:00,5.4,135.77,5.88,135.37,5.85,1012.27,SE
1979-01-02 17:00:00,5.57,138.93,6.08,138.59,5.2,1011.9,SE
1979-01-02 18:00:00,5.62,139.53,6.16,139.17,5.2,1012.02,SE
1979-01-02 19:00:00,5.65,139.67,6.2,139.35,5.24,1011.4,SE
1979-01-02 20:00:00,5.67,139.59,6.24,139.3,5.29,1010.49,SE
1979-01-02 21:00:00,5.82,139.58,6.42,139.31,5.25,1009.65,SE
1979-01-02 22:00:00,6.08,140.69,6.74,140.42,5.27,1009.24,SE
1979-01-02 23:00:00,6.25,137.89,6.96,137.72,5.4,1009.05,SE
