month,month_name,mean_WS10,max_WS10,mean_WS100,max_WS100,mean_WD10,compass_direction,mean_pressure
1,January,8.055340949820788,13.77,9.604102150537635,16.78,130.74215750753797,SE,1014.5329045698925
2,February,7.991016116352202,13.58,9.551119300314465,16.48,132.51616038938494,SE,1013.4830773388364
3,March,7.754923835125448,13.89,9.363797043010754,17.34,135.37119211294873,SE,1011.2793324372759
4,April,7.18090462962963,13.06,8.725739814814816,15.85,136.94218977285527,SE,1009.2041041666666
5,May,5.5735474910394265,12.03,6.827030465949821,14.53,125.73100155712439,SE,1006.9215170250897
6,June,5.801786111111111,13.49,7.727743518518519,17.5,322.0986958033689,NW,1003.6711041666667
7,July,6.912589157706093,14.09,9.41794982078853,18.15,314.31009046654066,NW,1003.0029811827957
8,August,5.7026397849462365,13.15,7.612845878136201,17.02,316.6935118874617,NW,1004.0011671146954
9,September,5.005906481481482,12.75,6.197516203703704,16.21,348.1902719687896,NNW,1005.7743379629629
10,October,6.400870967741936,11.59,7.49539023297491,13.63,133.53283628513202,SE,1010.1725340501793
11,November,7.635213425925925,14.04,9.05257638888889,16.99,135.8753684304731,SE,1012.6636523148148
12,December,7.817702060931899,12.93,9.293321236559139,15.48,134.84286028453448,SE,1014.4095940860216
