direction_sector,count,mean_WS10,max_WS10,frequency_%
E,3831,3.511861132863482,8.34,1.4566983026099654
ENE,2405,2.9156091476091475,8.28,0.9144764859767598
ESE,24098,6.867618474562204,14.04,9.163016365516821
N,6450,4.998834108527132,10.98,2.452546085052017
NE,2172,2.860046040515654,6.05,0.8258806351524001
NNE,2992,3.33855614973262,8.76,1.1376771917016488
NNW,18779,7.148040896746365,13.49,7.140521384680903
NW,28347,7.318228383955974,14.09,10.778654864026283
S,2173,3.1387758858720662,8.74,0.8262608748555089
SE,117569,7.7609949051195475,13.47,44.704401654803185
SSE,25911,6.101629809733318,11.68,9.852390947253149
SSW,828,1.980024154589372,9.36,0.31483847417411936
SW,1034,2.5752998065764023,9.3,0.3931678530145404
W,6304,4.269665291878173,10.78,2.3970310883981263
WNW,17830,5.604381940549636,12.0,6.779673906430614
WSW,2269,3.4022520934332303,10.81,0.8627638863539575
