water_depth_m,u_mid_m,Ky_N_per_m,Ky_kN_per_m
160,-99.5,843355.6471,843.3556471
160,-98.5,846706.628,846.706628
160,-97.5,849746.6399,849.7466399
160,-96.5,852790.9825,852.7909825
160,-95.5,855860.5832,855.8605832
160,-94.5,858963.6899,858.9636899
160,-93.5,862105.0153,862.1050153
160,-92.5,865287.7804,865.2877804
160,-91.5,868514.5001,868.5145001
160,-90.5,871787.3164,871.7873164
160,-89.5,875108.1635,875.1081635
160,-88.5,878478.8618,878.4788618
160,-87.5,881901.172,881.901172
160,-86.5,885376.8306,885.3768306
160,-85.5,888907.5738,888.9075738
160,-84.5,892495.1544,892.4951544
160,-83.5,896141.3549,896.1413549
160,-82.5,899847.9973,899.8479973
160,-81.5,903616.9513,903.6169513
160,-80.5,907450.1417,907.4501417
160,-79.5,911349.5553,911.3495553
160,-78.5,915317.2452,915.3172452
160,-77.5,919355.3385,919.3553385
160,-76.5,923466.0404,923.4660404
160,-75.5,927651.6403,927.6516403
160,-74.5,931914.5168,931.9145168
160,-73.5,936257.1437,936.2571437
160,-72.5,940682.0956,940.6820956
160,-71.5,945192.0536,945.1920536
160,-70.5,949789.8116,949.7898116
160,-69.5,954478.2828,954.4782828
160,-68.5,959260.5059,959.2605059
160,-67.5,964139.6526,964.1396526
160,-66.5,969119.0343,969.1190343
160,-65.5,974202.1101,974.2021101
160,-64.5,979392.4945,979.3924945
160,-63.5,984693.9661,984.6939661
160,-62.5,990110.4754,990.1104754
160,-61.5,995646.1548,995.6461548
160,-60.5,1001305.327,1001.305327
160,-59.5,1007092.516,1007.092516
160,-58.5,1013012.456,1013.012456
160,-57.5,1019070.101,1019.070101
160,-56.5,1025270.637,1025.270637
160,-55.5,1031619.493,1031.619493
160,-54.5,1038122.348,1038.122348
160,-53.5,1044785.144,1044.785144
160,-52.5,1051614.098,1051.614098
160,-51.5,1058615.707,1058.615707
160,-50.5,1065796.759,1065.796759
160,-49.5,1073164.341,1073.164341
160,-48.5,1080725.842,1080.725842
160,-47.5,1088488.955,1088.488955
160,-46.5,1096461.682,1096.461682
160,-45.5,1104652.321,1104.652321
160,-44.5,1113069.459,1113.069459
160,-43.5,1121721.955,1121.721955
160,-42.5,1130618.905,1130.618905
160,-41.5,1139769.61,1139.76961
160,-40.5,1149183.509,1149.183509
160,-39.5,1158870.109,1158.870109
160,-38.5,1168838.881,1168.838881
160,-37.5,1179099.119,1179.099119
160,-36.5,1189659.769,1189.659769
160,-35.5,1200529.195,1200.529195
160,-34.5,1211714.883,1211.714883
160,-33.5,1223223.962,1223.223962
160,-32.5,1235057.307,1235.057307
160,-31.5,1247222.451,1247.222451
160,-30.5,1259714.709,1259.714709
160,-29.5,1272529.82,1272.52982
160,-28.5,1285657.105,1285.657105
160,-27.5,1299078.838,1299.078838
160,-26.5,1312768.267,1312.768267
160,-25.5,1326686.921,1326.686921
160,-24.5,1340781.52,1340.78152
160,-23.5,1354979.979,1354.979979
160,-22.5,1369186.456,1369.186456
160,-21.5,1383275.507,1383.275507
160,-20.5,1397084.885,1397.084885
160,-19.5,1410407.29,1410.40729
160,-18.5,1422981.108,1422.981108
160,-17.5,1434480.647,1434.480647
160,-16.5,1444506.987,1444.506987
160,-15.5,1452581.373,1452.581373
160,-14.5,1458144.342,1458.144342
160,-13.5,1460565.438,1460.565438
160,-12.5,1459169.799,1459.169799
160,-11.5,1453289.5,1453.2895
160,-10.5,1442345.986,1442.345986
