water_depth_m,u_mid_m,Kz_N_per_m,Kz_kN_per_m
160.0,-24.5,77089.42230149684,77.08942230149684
160.0,-23.5,77592.63965894748,77.59263965894748
160.0,-22.5,78079.74566052761,78.0797456605276
160.0,-21.5,78550.59038229985,78.55059038229984
160.0,-20.5,79005.04710322991,79.00504710322991
160.0,-19.5,79443.01282277331,79.44301282277331
160.0,-18.5,79864.40865759086,79.86440865759086
160.0,-17.5,80269.18011738919,80.26918011738918
160.0,-16.5,80657.29725905973,80.65729725905973
160.0,-15.5,81028.7547184471,81.0287547184471
160.0,-14.5,81383.57161928248,81.38357161928248
160.0,-13.5,81721.79136290401,81.72179136290401
160.0,-12.5,82043.48129964899,82.04348129964899
160.0,-11.5,82348.73228784837,82.34873228784836
160.0,-10.5,82637.658143932,82.637658143932
160.0,-9.5,82910.39499063604,82.91039499063604
160.0,-8.5,83167.1005099155,83.1671005099155
160.0,-7.5,83407.95310758054,83.40795310758054
160.0,-6.5,83633.15099889413,83.63315099889412
160.0,-5.5,83842.91122237314,83.84291122237313
160.0,-4.5,84037.46859241463,84.03746859241463
160.0,-3.5,84217.07459881715,84.21707459881715
160.0,-2.5,84381.99626297597,84.38199626297597
160.0,-1.5,84532.51495993603,84.53251495993604
160.0,-0.5,84668.92521646991,84.66892521646992
160.0,0.5,84791.53349268716,84.79153349268717
160.0,1.5,84900.65695725754,84.90065695725754
160.0,2.5,84996.6222637631,84.9966222637631
160.0,3.5,85079.76433667913,85.07976433667913
160.0,4.5,85150.4251732789,85.1504251732789
160.0,5.5,85208.95267013647,85.20895267013647
160.0,6.5,85255.69947765023,85.25569947765023
160.0,7.5,85291.02189033106,85.29102189033107
160.0,8.5,85315.27877746988,85.31527877746989
160.0,9.5,85328.83055618405,85.32883055618406
160.1,-24.5,77052.16808460894,77.05216808460895
160.1,-23.5,77555.04876392688,77.55504876392688
160.1,-22.5,78041.84216571736,78.04184216571736
160.1,-21.5,78512.39855668275,78.51239855668274
160.1,-20.5,78966.59136629033,78.96659136629033
160.1,-19.5,79404.31770351711,79.40431770351711
160.1,-18.5,79825.49875293404,79.82549875293404
160.1,-17.5,80230.08005012586,80.23008005012586
160.1,-16.5,80618.0316356227,80.6180316356227
160.1,-15.5,80989.34808667336,80.98934808667336
160.1,-14.5,81344.04842639837,81.34404842639837
160.1,-13.5,81682.17591393756,81.68217591393757
160.1,-12.5,82003.7977164756,82.0037977164756
160.1,-11.5,82309.00446906527,82.30900446906527
160.1,-10.5,82597.90972575151,82.5979097257515
160.1,-9.5,82870.6493089737,82.87064930897371
160.1,-8.5,83127.3805638404,83.1273805638404
160.1,-7.5,83368.28152427926,83.36828152427925
160.1,-6.5,83593.55000028688,83.59355000028688
160.1,-5.5,83803.4025935057,83.8034025935057
160.1,-4.5,83998.07365173224,83.99807365173224
160.1,-3.5,84177.81417041189,84.17781417041189
160.1,-2.5,84342.8906508823,84.3428906508823
160.1,-1.5,84493.58392453266,84.49358392453266
160.1,-0.5,84630.18795302951,84.6301879530295
160.1,0.5,84753.00861209998,84.75300861209998
160.1,1.5,84862.3624689403,84.86236246894029
160.1,2.5,84958.57556074885,84.95857556074886
160.1,3.5,85041.9821828703,85.0419821828703
160.1,4.5,85112.92369283407,85.11292369283407
160.1,5.5,85171.74733894637,85.17174733894637
160.1,6.5,85218.80511685272,85.21880511685272
160.1,7.5,85254.45266180113,85.25445266180112
160.1,8.5,85279.04818121128,85.27904818121128
160.1,9.5,85292.95142954878,85.29295142954878
160.2,-24.5,77014.91386772103,77.01491386772103
160.2,-23.5,77517.4578689063,77.5174578689063
160.2,-22.5,78003.93867090711,78.00393867090712
160.2,-21.5,78474.20673106564,78.47420673106564
160.2,-20.5,78928.13562935076,78.92813562935076
160.2,-19.5,79365.62258426093,79.36562258426093
160.2,-18.5,79786.58884827723,79.78658884827723
160.2,-17.5,80190.97998286253,80.19097998286253
160.2,-16.5,80578.76601218566,80.57876601218567
160.2,-15.5,80949.9414548996,80.9499414548996
160.2,-14.5,81304.52523351426,81.30452523351425
160.2,-13.5,81642.5604649711,81.6425604649711
160.2,-12.5,81964.11413330221,81.9641141333022
160.2,-11.5,82269.27665028216,82.26927665028217
160.2,-10.5,82558.16130757103,82.55816130757104
160.2,-9.5,82830.90362731137,82.83090362731137
160.2,-8.5,83087.6606177653,83.0876606177653
